Reference;Value;Footprint;Datasheet;Qty;JLC Part #;MFR Part #;Unit Cost;Extended Part Cost;Total cost (5 Boards)
BT2;Battery;n/a;~;1;n/a;n/a;0;0;0
C1-C4;10uf;CL10A106KP8NNNC;~;4;CL10A106KP8NNNC;C19702;$0,0066;0;0,0264
D1;LED Green;LED_0805;~;1;LED_0805;C2296;$0,0119;0;0,0119
D2;LED RED;LED_0603;~;1;LED_0603;LED_0603;$0,0054;0;0,0054
D4;zener diode;MMSZ4678T1G;;1;MMSZ4678T1G;C36599;0,0956;3;3,0956
opamp1;;OP07CDR;;1;OP07CDR;C7433;0;0;0
Q1+A8:F8;AO3401A;Package_TO_SOT_SMD:SOT-23;http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf;1;AO3401A;C15127;0,0797;0;0,0797
R2-R4;1.2k;0603WAF1201T5E;~;3;0603WAF1201T5E;C19702;0,0066;0;0,0198
R5, R11-R13;0;;~;4;;;0;0;0
R14, R18;R1M;0805W8F1004T5E;~;2;0805W8F1004T5E;C17514;0,0016;0;0,0032
R15;R2M;0805W8F2004T5E;~;1;0805W8F2004T5E;C26112;0,0024;0;0,0024
R16;100k;1206W4F1003T5E;~;1;1206W4F1003T5E;C17900;0,0032;0;0,0032
R17;80k;0805W8F8202T5E;~;1;0805W8F8202T5E;C17840;0,0017;0;0,0017
R19;R3M;0603WAF3004T5E;~;1;0603WAF3004T5E;C23156;0,0013;0;0,0013
U3;Batter Charger;TP4056;;1;TP4056;C16581;0,2064;0;0,2064
U4;XC6206PxxxMR;Package_TO_SOT_SMD:SOT-23-3;https://www.torexsemi.com/file/xc6206/XC6206.pdf;1;XC6206P332MR;C5446;0,0964;0;0,0964
U8;USB;MicroXNJ;;1;MicroXNJ;C404969;0,0333;3;3,0333
;;;;;;;;;6,5867
