"Reference","Value","Footprint","Datasheet","Sim.Enable","Qty"
"BT2","Battery","n/a","~","","1"
"C1-C4","10uf","CL10A106KP8NNNC","~","","4"
"C5","1u","","~","","1"
"C6","100n","","~","","1"
"D1","LED Green","LED_0805","~","","1"
"D2","LED RED","LED_0603","~","","1"
"D3","LED","","~","","1"
"D4","","MMSZ4678T18","","","1"
"J1","Debugger","","~","","1"
"J2","","","","","1"
"J3, J4","Conn_01x02_Pin","","~","","2"
"JP1, JP4, JP8, JP10, JP11","Jumper_2_Bridged","","~","","5"
"JP2, JP5-JP7","SolderJumper_2_Bridged","","~","","4"
"JP3, JP9","Jumper_3_Bridged12","","~","","2"
"Q1-Q3","AO3401A","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","","3"
"R1","10k","","~","","1"
"R2-R5, R7","1.2k","0603WAF1201T5E","~","","5"
"R6","1.2k","","~","","1"
"R10","100k","","~","","1"
"R11, R13, R21-R33","0","","~","-- mixed values --","15"
"R14, R18","R1M","0805W8F1004T5E","~","","2"
"R15","R2M","0805W8F2004T5E","~","","1"
"R16","100k","1206W4F1003T5E","~","","1"
"R17","80k","0805W8F8202T5E","~","","1"
"R19","R3M","0603WAF3004T5E","~","","1"
"R34, R35","5k","","~","","2"
"R36-R38","8k2","","~","","3"
"RV1","R_Potentiometer","","~","","1"
"SW1","Reset switch","","~","","1"
"SW2-SW4","","","~","","3"
"TH1","Thermistor","","~","","1"
"U1","STM32F051C6Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00039193.pdf","0","1"
"U2","HT42B534-2","","","","1"
"U3","Batter Charger","TP4056","","","1"
"U4","XC6206PxxxMR","Package_TO_SOT_SMD:SOT-23-3","https://www.torexsemi.com/file/xc6206/XC6206.pdf","","1"
"U5","","","","","1"
"U6","LTR-303ALS-01","OptoDevice:Lite-On_LTR-303ALS-01","http://optoelectronics.liteon.com/upload/download/DS86-2013-0004/LTR-303ALS-01_DS_V1.pdf","","1"
"U7","24LC256","","http://ww1.microchip.com/downloads/en/devicedoc/21203m.pdf","","1"
"U8","GXHTC3","","","","1"
"U9","LMV321","","http://www.ti.com/lit/ds/symlink/lmv324.pdf","","1"
