Designator,Mid X,Mid Y,Rotation,Layer
B1,150.0,-51.5,270.0,top
C1,154.5,-34.0,270.0,top
C2,148.200025,-32.0,0.0,top
C3,108.299975,-35.5,180.0,top
C4,111.700025,-39.5,0.0,top
C5,160.045085,-95.049936,0.0,top
C6,169.5,-95.954915,90.0,top
C7,148.42,-81.954915,270.0,top
C8,131.42,-81.954915,270.0,top
D1,122.692405,-31.0,0.0,top
D2,149.299467,-28.996571,0.0,top
D3,149.299467,-26.996571,0.0,top
D4,190.0,-43.050292,90.0,top
D5,192.5,-43.050292,90.0,top
J1,114.04,-27.5,270.0,top
J2,122.04,-27.5,270.0,top
J3,130.98,-79.2,90.0,top
J4,130.98,-79.2,90.0,top
J5,132.58,-27.5,270.0,top
J6,165.64,-27.5,90.0,top
JP1,142.633366,-96.5,90.0,top
JP2,107.5,-70.5,0.0,top
JP3,192.5,-79.04,180.0,top
JP4,192.5,-72.54,180.0,top
JP5,170.46,-31.5,90.0,top
JP6,183.42,-31.5,90.0,top
Q1,159.650013,-37.950013,180.0,top
Q2,119.150013,-38.000051,0.0,top
Q3,111.456745,-31.849987,90.0,top
Q4,137.356719,-31.999949,270.0,top
Q5,123.0,-78.0,270.0,top
Q6,129.523353,-96.549987,0.0,top
Q7,157.269987,-96.499949,180.0,top
Q8,177.0,-97.000051,0.0,top
R1,160.5,-32.253366,90.0,top
R10,118.0,-34.753366,270.0,top
R11,145.5,-27.0,0.0,top
R12,123.0,-38.0,90.0,top
R13,126.753366,-38.5,0.0,top
R14,154.5,-38.0,270.0,top
R15,107.753366,-33.0,180.0,top
R16,107.753366,-31.0,180.0,top
R17,114.506732,-32.0,90.0,top
R18,111.746634,-35.5,0.0,top
R19,111.746634,-37.5,0.0,top
R2,158.5,-32.246634,90.0,top
R20,141.253366,-31.0,0.0,top
R21,141.253366,-33.0,0.0,top
R22,134.006732,-32.0,90.0,top
R23,109.0,-42.753366,90.0,top
R24,123.0,-81.0,180.0,top
R25,133.92,-97.5,0.0,top
R26,123.0,-83.0,180.0,top
R27,133.92,-95.5,0.0,top
R28,124.774575,-96.5,0.0,top
R29,149.666634,-95.5,180.0,top
R3,159.5,-35.0,0.0,top
R30,180.746634,-96.0,0.0,top
R31,149.666634,-97.5,180.0,top
R32,185.096621,-96.0,180.0,top
R33,183.666634,-63.5,0.0,top
R34,187.166634,-63.5,0.0,top
R35,110.0,-81.0,90.0,top
R36,110.0,-87.246634,90.0,top
R37,110.0,-93.246634,90.0,top
R38,190.0,-60.0,90.0,top
R39,192.5,-60.0,90.0,top
R4,120.0,-34.753366,90.0,top
R40,181.253366,-79.5,180.0,top
R41,181.253366,-77.5,180.0,top
R42,174.0,-96.746634,90.0,top
R43,120.0,-97.0,0.0,top
R44,110.0,-66.246634,270.0,top
R45,123.0,-86.5,0.0,top
R46,137.92,-97.5,0.0,top
R47,180.753366,-98.0,0.0,top
R48,153.666634,-95.5,180.0,top
R49,139.0,-63.5,180.0,top
R5,123.0,-34.0,90.0,top
R50,135.567183,-63.5,180.0,top
R51,133.067183,-63.5,0.0,top
R52,179.0,-84.067183,90.0,top
R53,146.246634,-63.5,0.0,top
R54,142.746634,-63.5,0.0,top
R55,180.166634,-63.5,0.0,top
R56,177.753366,-77.5,0.0,top
R57,177.753366,-79.5,0.0,top
R58,178.5,-31.246634,270.0,top
R59,164.5,-38.0,90.0,top
R6,131.0,-32.0,90.0,top
R60,164.5,-34.246634,90.0,top
R61,166.5,-34.246634,90.0,top
R7,131.0,-36.5,90.0,top
R8,127.0,-31.0,0.0,top
R9,145.5,-29.0,180.0,top
RV1,120.5,-70.0,90.0,top
SW1,189.0,-37.0,180.0,top
SW2,116.0,-80.0,180.0,top
SW3,116.0,-86.0,180.0,top
SW4,116.0,-92.0,180.0,top
TH1,116.686183,-97.0,0.0,top
TP1,151.5,-32.0,0.0,top
TP10,171.5,-96.5,0.0,top
TP11,192.5,-63.5,0.0,top
TP12,192.5,-66.5,0.0,top
TP13,107.5,-78.0,0.0,top
TP14,107.5,-84.0,0.0,top
TP15,107.5,-90.0,0.0,top
TP16,107.5,-60.5,0.0,top
TP17,107.5,-57.5,0.0,top
TP18,165.5,-31.0,0.0,top
TP19,192.5,-86.0,0.0,top
TP2,115.0,-36.0,0.0,top
TP20,192.5,-83.0,0.0,top
TP21,138.0,-27.5,0.0,top
TP22,141.0,-27.5,0.0,top
TP3,145.0,-32.0,0.0,top
TP4,115.0,-39.0,0.0,top
TP5,118.5,-31.5,0.0,top
TP6,107.5,-63.5,0.0,top
TP7,192.5,-94.0,0.0,top
TP8,192.5,-91.0,0.0,top
TP9,113.253366,-97.0,0.0,top
U1,127.050038,-35.050038,90.0,top
U2,148.0,-36.5,90.0,top
U4,108.264923,-38.764923,270.0,top
U5,161.119974,-97.049936,270.0,top
U6,167.010008,-97.0,90.0,top
U7,170.92,-80.0,0.0,top
U8,158.400051,-28.021336,180.0,top
U9,138.0,-37.5,270.0,top
Y1,139.870089,-82.0,180.0,top
